"product","Year","Sugar","Glucose","Coffee_substitute","Seed_oil","Ethyl_alcohol_1","Ethyl_alcohol_2","Beer","pop"
"ethyl_alcohol_1_pop",1865,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl_alcohol_1_pop",1866,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl_alcohol_1_pop",1867,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl_alcohol_1_pop",1868,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl_alcohol_1_pop",1869,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl_alcohol_1_pop",1870,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl_alcohol_1_pop",1871,NA,NA,NA,NA,20817,NA,NA,1.5
"ethyl_alcohol_1_pop",1872,NA,NA,NA,NA,30059,NA,NA,2.2
"ethyl_alcohol_1_pop",1873,NA,NA,NA,NA,31744,NA,NA,2.3
"ethyl_alcohol_1_pop",1874,NA,NA,87,NA,48540,NA,NA,3.5
"ethyl_alcohol_1_pop",1875,NA,NA,2369,NA,66191,NA,NA,4.7
"ethyl_alcohol_1_pop",1876,NA,NA,5871,NA,54321,NA,NA,3.9
"ethyl_alcohol_1_pop",1877,102,NA,6033,NA,63906,NA,NA,4.6
"ethyl_alcohol_1_pop",1878,170,NA,5394,NA,66799,NA,NA,4.8
"ethyl_alcohol_1_pop",1879,19,NA,5023,NA,47328,23383,112329,3.4
"ethyl_alcohol_1_pop",1880,102,NA,5131,NA,111474,28158,116217,8
"ethyl_alcohol_1_pop",1881,64,NA,4466,NA,192551,125811,127364,13.8
"ethyl_alcohol_1_pop",1882,192,NA,3558,NA,179825,27162,131255,12.9
"ethyl_alcohol_1_pop",1883,354,NA,3642,NA,201982,24560,121955,14.5
"ethyl_alcohol_1_pop",1884,722,NA,14151,NA,232146,22147,144190,16.6
"ethyl_alcohol_1_pop",1885,125,4754,14211,NA,190671,21978,167833,13.7
"ethyl_alcohol_1_pop",1886,177,38919,20202,NA,210481,31274,145305,15.1
"ethyl_alcohol_1_pop",1887,184,38321,20107,NA,123392,56979,174922,8.8
"ethyl_alcohol_1_pop",1888,448,29448,18801,NA,31926,53358,137745,2.3
"ethyl_alcohol_1_pop",1889,636,32485,19459,NA,106481,43162,157630,7.6
"ethyl_alcohol_1_pop",1890,788,28704,21234,NA,140075,59413,156224,10
"ethyl_alcohol_1_pop",1891,1572,28207,21970,NA,105886,119683,132404,7.6
"ethyl_alcohol_1_pop",1892,1066,25532,19781,NA,53062,155642,99199,3.8
"ethyl_alcohol_1_pop",1893,1147,38699,20258,NA,101064,85499,93856,7.2
"ethyl_alcohol_1_pop",1894,2090,25644,18825,NA,101019,68979,95497,7.2
"ethyl_alcohol_1_pop",1895,2648,30890,24462,NA,114340,51528,114873,8.2
"ethyl_alcohol_1_pop",1896,2300,29850,24160,NA,123746,56939,106940,8.9
"ethyl_alcohol_1_pop",1897,3877,31047,27748,NA,126289,61392,109488,9
"ethyl_alcohol_1_pop",1898,5972,33543,28622,NA,120007,55204,132696,8.6
"ethyl_alcohol_1_pop",1899,23116,35067,30197,NA,127275,65359,145024,9.1
"ethyl_alcohol_1_pop",1900,60125,33350,31350,NA,141264,53669,163485,10.1
"ethyl_alcohol_1_pop",1901,74300,35295,31467,NA,125946,63254,162188,9
"ethyl_alcohol_1_pop",1902,95409,38401,31114,NA,101370,74906,176406,7.3
"ethyl_alcohol_1_pop",1903,130861,34859,33777,NA,159703,63094,217188,11.4
"ethyl_alcohol_1_pop",1904,78381,43041,35476,NA,163660,143041,219572,11.7
"ethyl_alcohol_1_pop",1905,93916,50445,38097,NA,160546,96970,304633,11.5
"ethyl_alcohol_1_pop",1906,106383,52328,42147,NA,194286,83148,359921,13.9
"ethyl_alcohol_1_pop",1907,135965,54691,43397,NA,154876,308502,447493,11.1
"ethyl_alcohol_1_pop",1908,165312,53347,43553,NA,165869,634668,547802,11.9
"ethyl_alcohol_1_pop",1909,110795,65685,47954,NA,129896,289025,567186,9.3
"ethyl_alcohol_1_pop",1910,173184,65379,51412,NA,232054,64613,598315,16.6
"ethyl_alcohol_1_pop",1911,158663,69950,60498,NA,200408,60224,721456,14.4
"ethyl_alcohol_1_pop",1912,198338,65821,63505,NA,282886,66245,672907,20.3
"ethyl_alcohol_1_pop",1913,305560,62056,63325,NA,272742,98842,652275,19.5
"ethyl_alcohol_1_pop",1914,150216,43861,57542,NA,214283,83681,525601,15.3
"ethyl_alcohol_1_pop",1915,150396,44207,75729,NA,230614,31903,600022,16.5
"ethyl_alcohol_1_pop",1916,144870,38195,80436,166800,275722,39273,619638,19.7
"ethyl_alcohol_1_pop",1917,92624,10849,47870,145180,241846,58066,411344,17.3
"ethyl_alcohol_1_pop",1918,108431,21936,48871,111290,183098,55399,504509,13.1
"ethyl_alcohol_1_pop",1919,167767,62162,33446,252870,278019,53950,949102,19.9
"ethyl_alcohol_1_pop",1920,124392,60336,NA,319770,355080,73564,1157024,25.4
"ethyl_alcohol_1_pop",1921,206422,74927,56350,290910,389462,53062,1369438,27.9
"ethyl_alcohol_1_pop",1922,270279,100481,78044,407880,389183,53545,1187508,27.9
"ethyl_alcohol_1_pop",1923,318987,93753,83517,680850,374461,69571,1465217,26.8
"ethyl_alcohol_1_pop",1924,382207,102077,88468,731250,384752,121053,1281029,27.6
"ethyl_alcohol_1_pop",1925,142378,102478,90635,661830,329869,67515,1218249,23.6
"ethyl_alcohol_1_pop",1926,280907,102239,87332,717774,449490,55744,1295719,32.2
"ethyl_alcohol_1_pop",1927,254994,117570,89460,864304,406806,52262,982517,29.1
"ethyl_alcohol_1_pop",1928,353458,109675,90860,1117303,425696,73758,1127300,30.5
"ethyl_alcohol_1_pop",1929,405082,93175,87923,794715,398372,111059,902189,28.5
"ethyl_alcohol_1_pop",1930,387747,94472,82047,820920,384145,104864,672323,27.5
"ethyl_alcohol_1_pop",1931,341385,88321,77734,797566,345504,74598,433089,24.7
"ethyl_alcohol_1_pop",1932,294891,77249,70504,903204,336028,114102,422254,24.1
"ethyl_alcohol_1_pop",1933,274043,79523,71251,1131157,284332,88682,372368,20.4
"ethyl_alcohol_1_pop",1934,320666,84536,71818,990631,328644,57188,289046,23.5
"ethyl_alcohol_1_pop",1935,296304,95051,75253,674579,625148,161461,497452,44.8
"ethyl_alcohol_1_pop",1936,309628,106896,78239,1241834,631146,228576,576900,45.2
"ethyl_alcohol_1_pop",1937,320550,106991,84660,1312275,779310,158798,612669,55.8
"ethyl_alcohol_1_pop",1938,369828,119354,96470,747663,320857,224766,708700,23
"ethyl_alcohol_1_pop",1939,441483,124618,140041,553284,472486,413563,829541,33.8
"ethyl_alcohol_1_pop",1940,559754,112701,190391,353845,1087779,158957,814683,77.9
"ethyl_alcohol_1_pop",1941,419717,54462,283390,272869,873241,226719,632668,62.5
"ethyl_alcohol_1_pop",1942,387754,39826,276855,286331,874582,167825,299141,62.6
"ethyl_alcohol_1_pop",1943,NA,NA,NA,NA,NA,NA,NA,NA
"ethyl_alcohol_1_pop",1944,54413,28976,128462,84029,86390,146601,346848,6.2
"ethyl_alcohol_1_pop",1945,18077,62397,83933,271496,39773,151398,696439,2.8
"ethyl_alcohol_1_pop",1946,254687,78645,97530,339522,203143,132982,897949,14.5
"ethyl_alcohol_1_pop",1947,220304,57225,89380,413169,193723,188367,918518,13.9
"ethyl_alcohol_1_pop",1948,410494,121063,103087,571947,251470,275093,892111,18
"ethyl_alcohol_1_pop",1949,454546,192595,105869,474509,310462,375042,1199762,22.2
"ethyl_alcohol_1_pop",1950,597107,218604,115039,457388,285128,363776,1382979,20.4
"ethyl_alcohol_1_pop",1951,655009,227449,123416,448470,319301,337499,1167044,22.9
"ethyl_alcohol_1_pop",1952,669051,253014,128091,376320,386940,437719,1478771,27.7
"ethyl_alcohol_1_pop",1953,686729,279387,141446,457420,436569,337850,1342183,31.3
"ethyl_alcohol_1_pop",1954,790513,317961,159822,459640,326814,391002,1410980,23.4
"ethyl_alcohol_1_pop",1955,1077484,334918,172180,687403,290089,428871,1534311,20.8
"ethyl_alcohol_1_pop",1956,898566,359535,182679,1049796,393031,421617,1675801,28.1
"ethyl_alcohol_1_pop",1957,778167,406673,186281,1044656,428450,547613,1697474,30.7
"ethyl_alcohol_1_pop",1958,1009135,428429,193462,1148094,496807,420748,1958842,35.6
